CustomerKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,DateFirstPurchase,CommuteDistance
11017,Shannon,Wang,24/12/1949,S,F,20000,4,High School,Skilled Manual,1,2,12/01/2011,5-10 Miles
11018,Clarence,Rai,06/10/1955,S,M,30000,2,Partial College,Clerical,1,2,17/01/2011,5-10 Miles
11019,Luke,Lal,04/09/1983,S,M,40000,0,High School,Skilled Manual,0,2,12/02/2013,5-10 Miles
11020,Jordan,King,19/03/1984,S,M,40000,0,High School,Skilled Manual,0,2,29/12/2012,1-2 Miles
11021,Destiny,Wilson,02/03/1984,S,F,40000,0,Partial College,Skilled Manual,0,1,23/01/2013,1-2 Miles
11022,Ethan,Zhang,10/04/1984,M,M,40000,0,Partial College,Skilled Manual,1,1,20/01/2013,5-10 Miles
11023,Seth,Edwards,09/04/1984,M,M,40000,0,Partial College,Skilled Manual,1,1,17/02/2013,1-2 Miles
11024,Russell,Xie,16/03/1984,M,M,60000,0,Partial College,Skilled Manual,1,2,27/06/2013,5-10 Miles
11025,Alejandro,Beck,22/06/1951,M,M,10000,2,Partial High School,Clerical,1,2,06/01/2011,1-2 Miles
11026,Harold,Sai,01/10/1951,S,M,30000,2,Partial College,Clerical,0,2,23/01/2011,1-2 Miles
11027,Jessie,Zhao,05/06/1952,M,M,30000,2,Partial College,Clerical,1,2,16/01/2011,5-10 Miles
11028,Jill,Jimenez,09/10/1951,M,F,30000,2,Partial College,Clerical,1,2,26/01/2011,1-2 Miles
11029,Jimmy,Moreno,19/06/1952,M,M,30000,2,Partial College,Clerical,1,2,19/01/2011,1-2 Miles
11030,Bethany,Yuan,18/02/1958,M,F,10000,2,Partial High School,Clerical,1,2,05/02/2011,1-2 Miles
11031,Theresa,Ramos,18/02/1953,M,F,20000,4,High School,Skilled Manual,1,2,01/02/2011,1-2 Miles
11032,Denise,Stone,08/12/1952,M,F,20000,4,High School,Skilled Manual,1,2,18/02/2011,1-2 Miles
11033,Jaime,Nath,19/09/1958,M,M,20000,4,High School,Skilled Manual,1,2,15/02/2011,5-10 Miles
11034,Ebony,Gonzalez,16/12/1952,M,F,20000,4,High School,Skilled Manual,1,2,01/02/2011,5-10 Miles
11035,Wendy,Dominguez,23/08/1953,M,F,10000,2,Partial High School,Clerical,1,2,06/02/2011,1-2 Miles
11036,Jennifer,Russell,16/06/1984,M,F,60000,0,Partial College,Skilled Manual,1,2,22/01/2013,1-2 Miles
11037,Chloe,Garcia,27/05/1983,S,F,40000,0,Partial High School,Clerical,0,2,20/01/2013,5-10 Miles
11038,Diana,Hernandez,20/09/1953,M,F,10000,2,Partial High School,Clerical,1,2,07/02/2011,5-10 Miles
11039,Marc,Martin,16/06/1954,M,M,30000,3,Partial College,Clerical,1,2,07/02/2011,5-10 Miles
11040,Jesse,Murphy,29/01/1983,M,M,30000,0,Partial College,Skilled Manual,1,2,03/04/2013,1-2 Miles
11041,Amanda,Carter,15/04/1983,M,F,60000,0,Partial College,Skilled Manual,1,2,14/01/2013,1-2 Miles
11042,Megan,Sanchez,11/12/1982,M,F,70000,0,Partial College,Skilled Manual,1,2,21/01/2013,0-1 Miles
11043,Nathan,Simmons,23/08/1981,M,M,60000,0,Partial College,Skilled Manual,1,2,08/05/2013,5-10 Miles
11044,Adam,Flores,21/11/1954,M,M,20000,2,Partial High School,Clerical,1,2,28/02/2011,1-2 Miles
11045,Leonard,Nara,16/11/1955,S,M,30000,3,High School,Skilled Manual,0,2,10/04/2013,1-2 Miles
11046,Christine,Yuan,19/09/1955,M,F,30000,3,High School,Skilled Manual,1,2,06/02/2011,5-10 Miles
11047,Jaclyn,Lu,27/08/1955,M,F,30000,3,High School,Skilled Manual,0,2,03/02/2011,1-2 Miles
11048,Jeremy,Powell,21/05/1956,M,M,30000,3,High School,Skilled Manual,1,2,10/02/2011,5-10 Miles
11049,Carol,Rai,15/01/1986,S,F,40000,0,Partial High School,Clerical,1,2,09/03/2013,5-10 Miles
11050,Alan,Zheng,06/03/1957,M,M,30000,3,High School,Skilled Manual,1,2,20/02/2011,5-10 Miles
11051,Daniel,Johnson,31/01/1957,S,M,30000,3,High School,Skilled Manual,0,2,29/12/2013,1-2 Miles
11052,Heidi,Lopez,03/02/1957,S,F,40000,2,Partial College,Clerical,0,2,17/02/2011,5-10 Miles
11053,Ana,Price,17/02/1986,M,F,60000,0,Partial College,Skilled Manual,0,2,17/01/2013,1-2 Miles
11054,Deanna,Munoz,07/09/1957,M,F,40000,2,Partial College,Skilled Manual,1,2,03/02/2011,5-10 Miles
11055,Gilbert,Raje,02/09/1957,M,M,40000,2,Partial College,Skilled Manual,1,2,31/01/2011,5-10 Miles
11056,Michele,Nath,01/10/1958,M,F,40000,3,Partial College,Skilled Manual,1,2,26/02/2011,5-10 Miles
11057,Carl,Andersen,07/04/1970,M,M,70000,2,Graduate Degree,Management,1,2,22/02/2011,1-2 Miles
11058,Marc,Diaz,23/04/1965,M,M,80000,2,Partial College,Skilled Manual,1,2,09/03/2011,1-2 Miles
11059,Ashlee,Andersen,29/09/1959,S,F,80000,2,Partial College,Skilled Manual,1,2,18/02/2013,5-10 Miles
11060,Jon,Zhou,14/09/1959,M,M,80000,2,Partial College,Skilled Manual,1,2,19/03/2011,5-10 Miles
11061,Todd,Gao,20/02/1976,M,M,80000,2,Partial College,Skilled Manual,1,2,13/03/2011,5-10 Miles
11062,Noah,Powell,01/03/1981,M,M,40000,0,High School,Skilled Manual,1,2,07/01/2013,5-10 Miles
11063,Angela,Murphy,04/10/1980,S,F,40000,0,High School,Skilled Manual,1,2,12/01/2013,5-10 Miles
11064,Chase,Reed,05/06/1981,M,M,40000,0,High School,Skilled Manual,1,2,25/01/2013,5-10 Miles
11065,Jessica,Henderson,08/04/1979,M,F,60000,0,Partial College,Skilled Manual,0,2,10/02/2013,1-2 Miles
11066,Grace,Butler,27/05/1979,M,F,70000,0,Partial College,Professional,1,2,31/05/2013,5-10 Miles
11067,Caleb,Carter,25/03/1982,S,M,60000,0,Partial College,Professional,1,2,18/08/2013,5-10 Miles
11068,Tiffany,Liang,19/09/1966,S,F,80000,2,High School,Skilled Manual,1,2,30/04/2013,5-10 Miles
11069,Carolyn,Navarro,17/09/1966,S,F,80000,2,High School,Skilled Manual,0,2,17/04/2011,1-2 Miles
11070,Willie,Raji,02/10/1960,M,M,80000,2,High School,Skilled Manual,1,2,28/04/2011,5-10 Miles
11071,Linda,Serrano,23/12/1960,S,F,80000,2,High School,Skilled Manual,1,2,01/03/2013,5-10 Miles
11072,Casey,Luo,05/08/1960,S,F,80000,2,High School,Skilled Manual,0,2,31/03/2011,1-2 Miles
11073,Amy,Ye,11/02/1962,S,F,70000,2,High School,Skilled Manual,1,2,23/03/2013,5-10 Miles
11074,Levi,Arun,25/02/1962,S,M,70000,2,High School,Skilled Manual,1,2,23/03/2013,5-10 Miles
11075,Felicia,Jimenez,16/05/1963,S,F,80000,2,High School,Professional,1,2,28/04/2011,5-10 Miles
11076,Blake,Anderson,10/01/1963,S,M,80000,2,High School,Professional,1,2,21/04/2011,5-10 Miles
11077,Leah,Ye,19/03/1963,S,F,80000,2,High School,Professional,0,2,15/04/2011,1-2 Miles
11078,Gina,Martin,06/01/1985,S,F,40000,0,High School,Professional,0,2,15/02/2013,1-2 Miles
11079,Donald,Gonzalez,07/03/1970,S,M,160000,0,Graduate Degree,Management,1,2,15/03/2013,0-1 Miles
11080,Damien,Chander,13/01/1965,M,M,170000,0,Graduate Degree,Management,1,2,10/04/2011,0-1 Miles
11081,Savannah,Baker,21/01/1972,M,F,120000,2,Bachelors,Management,1,3,12/02/2013,2-5 Miles
11082,Angela,Butler,01/02/1972,S,F,130000,0,Graduate Degree,Management,0,3,22/01/2013,1-2 Miles
11083,Alyssa,Cox,11/03/1977,M,F,130000,0,Graduate Degree,Management,1,3,06/01/2013,1-2 Miles
11084,Lucas,Phillips,12/03/1963,S,M,80000,2,Partial High School,Skilled Manual,0,2,04/01/2013,1-2 Miles
11085,Emily,Johnson,16/01/1963,S,F,60000,2,High School,Professional,0,2,06/12/2013,5-10 Miles
11086,Ryan,Brown,22/06/1963,M,M,70000,2,Partial College,Professional,1,0,02/07/2013,0-1 Miles
11087,Tamara,Liang,02/04/1963,M,F,70000,3,Partial College,Professional,0,0,25/02/2013,0-1 Miles
11088,Hunter,Davis,25/05/1963,M,M,80000,2,Bachelors,Management,1,0,13/01/2013,2-5 Miles
11089,Abigail,Price,05/08/1962,S,F,80000,2,Bachelors,Management,1,1,29/12/2012,2-5 Miles
11090,Trevor,Bryant,13/12/1968,S,M,90000,2,Partial College,Professional,1,1,07/08/2011,2-5 Miles
11091,Dalton,Perez,02/10/1962,M,M,90000,2,Partial College,Professional,1,1,29/01/2013,5-10 Miles
11092,Cheryl,Diaz,02/11/1972,M,F,90000,2,Bachelors,Professional,1,0,08/04/2011,1-2 Miles
11093,Aimee,He,06/09/1978,M,F,100000,0,Graduate Degree,Management,1,0,07/04/2011,0-1 Miles
11094,Cedric,Ma,29/09/1967,S,M,70000,1,Partial College,Skilled Manual,0,1,07/04/2013,0-1 Miles
11095,Chad,Kumar,29/02/1968,S,M,70000,1,Partial College,Skilled Manual,1,1,01/04/2011,5-10 Miles
11096,Andrés,Anand,07/02/1968,M,M,60000,1,Bachelors,Professional,1,1,11/04/2011,5-10 Miles
11097,Edwin,Nara,23/10/1972,M,M,60000,1,Partial College,Skilled Manual,1,1,04/04/2011,5-10 Miles
11098,Mallory,Rubio,29/10/1966,S,F,60000,1,Partial College,Skilled Manual,0,1,11/02/2013,0-1 Miles
11099,Adam,Ross,05/09/1966,M,M,60000,1,Bachelors,Professional,1,1,07/04/2011,0-1 Miles
11100,Latasha,Navarro,15/03/1966,S,F,60000,1,Partial College,Skilled Manual,1,1,16/04/2011,5-10 Miles
11101,Abby,Sai,05/11/1970,S,F,70000,0,Bachelors,Professional,0,1,29/04/2011,0-1 Miles
11102,Julia,Nelson,19/10/1970,S,F,80000,5,Bachelors,Professional,1,4,16/07/2013,1-2 Miles
11103,Cassie,Chande,12/04/1981,S,F,70000,0,Bachelors,Professional,1,1,15/04/2011,5-10 Miles
11104,Edgar,Sara,08/03/1975,M,M,70000,0,Bachelors,Professional,0,1,04/05/2011,0-1 Miles
11105,Candace,Fernandez,27/06/1970,S,F,70000,0,Bachelors,Professional,0,1,14/05/2011,5-10 Miles
11106,Jessie,Liu,11/03/1970,S,M,70000,0,Bachelors,Professional,0,1,18/05/2011,5-10 Miles
11107,Bianca,Lin,04/03/1976,M,F,90000,1,Bachelors,Professional,1,1,01/05/2011,5-10 Miles
11108,Kari,Alvarez,10/01/1969,S,F,70000,0,Bachelors,Professional,0,2,03/05/2011,0-1 Miles
11109,Ruben,Kapoor,30/04/1980,S,M,70000,0,Bachelors,Professional,0,2,10/05/2011,0-1 Miles
11110,Curtis,Yang,04/12/1967,M,M,60000,1,Partial College,Skilled Manual,1,1,01/05/2011,5-10 Miles
11111,Meredith,Gutierrez,23/08/1967,M,F,60000,1,Partial College,Skilled Manual,1,1,20/05/2011,0-1 Miles
11112,Crystal,Wang,08/03/1968,M,F,60000,1,Partial College,Skilled Manual,1,1,25/05/2011,0-1 Miles
11113,Micheal,Blanco,17/02/1973,M,M,70000,5,Bachelors,Professional,1,2,01/02/2013,5-10 Miles
11114,Leslie,Moreno,25/11/1967,S,F,70000,5,Partial College,Skilled Manual,1,2,18/03/2013,5-10 Miles
11115,Alvin,Cai,12/08/1967,M,M,70000,5,Partial College,Skilled Manual,1,2,10/02/2013,0-1 Miles
11116,Clinton,Carlson,02/04/1979,M,M,70000,5,Partial College,Skilled Manual,1,2,15/03/2013,5-10 Miles
11117,April,Deng,21/08/1966,M,F,70000,5,Partial College,Skilled Manual,1,3,06/05/2011,10+ Miles
11118,Alvin,Zeng,31/12/1962,S,M,80000,1,Partial College,Skilled Manual,0,1,10/07/2013,0-1 Miles
11119,Evan,James,07/10/1940,S,M,30000,2,Partial College,Clerical,0,2,03/02/2013,0-1 Miles
11120,Beth,Jiménez,06/02/1942,S,F,40000,2,Bachelors,Management,1,1,14/05/2011,5-10 Miles
11121,Orlando,Suarez,18/05/1966,M,M,70000,5,Partial College,Skilled Manual,1,3,24/06/2013,10+ Miles
11122,Byron,Vazquez,30/09/1965,M,M,70000,5,Partial College,Skilled Manual,1,3,21/02/2013,5-10 Miles
11123,Philip,Alvarez,18/12/1965,M,M,70000,5,Partial College,Skilled Manual,1,3,17/04/2013,10+ Miles
11124,Ross,Jordan,23/07/1968,S,M,80000,1,Partial College,Skilled Manual,1,1,05/05/2011,5-10 Miles
11125,Dana,Navarro,06/10/1961,S,F,70000,1,Partial College,Skilled Manual,1,1,31/01/2013,5-10 Miles
11126,Shaun,Carson,05/10/1954,M,M,10000,2,High School,Skilled Manual,0,2,28/05/2011,0-1 Miles
11127,Jan,Edwards,19/04/1981,M,F,40000,0,High School,Skilled Manual,1,1,10/04/2013,5-10 Miles
11128,Samantha,Long,03/06/1981,M,F,40000,0,High School,Skilled Manual,1,1,19/06/2013,5-10 Miles
11129,Julia,Wright,01/02/1981,S,F,40000,0,High School,Skilled Manual,1,1,06/08/2011,5-10 Miles
11130,Caroline,Russell,05/07/1985,M,F,30000,0,High School,Skilled Manual,1,2,09/12/2013,5-10 Miles
11131,Amanda,Rivera,09/09/1985,M,F,30000,0,High School,Skilled Manual,0,2,18/10/2013,0-1 Miles
11132,Melissa,Richardson,25/04/1986,S,F,30000,0,High School,Skilled Manual,0,2,09/04/2013,5-10 Miles
11133,Angela,Griffin,08/03/1986,S,F,30000,0,Partial High School,Clerical,0,2,30/12/2013,0-1 Miles
11134,Larry,Townsend,22/02/1957,S,M,10000,5,High School,Skilled Manual,1,2,03/05/2011,5-10 Miles
11135,Marcus,Harris,02/05/1985,S,M,30000,0,Partial High School,Clerical,0,2,18/04/2013,5-10 Miles
11136,Brianna,Morgan,24/04/1984,S,F,40000,0,High School,Skilled Manual,0,2,03/01/2013,0-1 Miles
11137,Jasmine,Taylor,17/01/1984,M,F,40000,0,High School,Skilled Manual,1,2,31/07/2013,5-10 Miles
11138,Lauren,Davis,14/03/1984,M,F,40000,0,High School,Skilled Manual,0,2,19/09/2013,0-1 Miles
11139,Tanya,Moreno,05/11/1949,S,F,30000,2,Partial College,Clerical,0,2,14/09/2013,5-10 Miles
11140,Javier,Alvarez,11/08/1982,S,M,30000,0,Partial High School,Clerical,0,2,19/03/2013,5-10 Miles
11141,Nicole,Ramirez,19/12/1982,M,F,40000,0,High School,Skilled Manual,0,2,16/05/2013,0-1 Miles
11142,Eduardo,Patterson,11/02/1983,S,M,40000,0,High School,Skilled Manual,0,2,13/02/2013,0-1 Miles
11143,Jonathan,Henderson,04/08/1982,M,M,40000,0,High School,Skilled Manual,1,2,15/06/2013,5-10 Miles
11144,Edward,Hernandez,08/03/1985,S,M,40000,0,High School,Skilled Manual,0,2,25/01/2013,0-1 Miles
11145,Jasmine,Coleman,06/06/1985,S,F,40000,0,High School,Skilled Manual,0,2,25/01/2013,0-1 Miles
11146,Karla,Goel,22/02/1945,S,F,40000,2,Bachelors,Management,1,2,05/02/2013,5-10 Miles
11147,Ernest,Wu,04/08/1944,M,M,60000,2,Graduate Degree,Management,1,1,13/05/2011,0-1 Miles
11148,Ross,Vazquez,13/02/1947,M,M,40000,2,Bachelors,Management,1,2,07/03/2013,5-10 Miles
11149,Theodore,Gill,18/10/1946,M,M,40000,2,Bachelors,Management,1,2,04/06/2013,0-1 Miles
11150,Russell,Shen,12/09/1946,S,M,40000,2,Bachelors,Management,1,2,27/03/2013,5-10 Miles
11151,Melinda,Gill,25/08/1947,S,F,60000,2,Graduate Degree,Management,0,1,15/05/2011,0-1 Miles
11152,James,Williams,09/07/1981,S,M,40000,0,High School,Skilled Manual,1,2,09/01/2013,5-10 Miles
11153,Angela,James,21/12/1981,M,F,40000,0,High School,Skilled Manual,1,2,29/03/2013,5-10 Miles
11154,Megan,Walker,18/02/1982,S,F,40000,0,Partial College,Skilled Manual,1,1,10/01/2013,5-10 Miles
11155,Hunter,Robinson,25/07/1981,S,M,40000,0,Partial College,Skilled Manual,0,1,06/01/2013,1-2 Miles
11156,Maria,Roberts,06/08/1981,S,F,40000,0,Partial College,Skilled Manual,0,1,08/01/2013,1-2 Miles
11157,Hannah,Long,08/12/1980,M,F,40000,0,High School,Skilled Manual,1,2,24/07/2013,5-10 Miles
11158,Jason,Wright,06/04/1981,S,M,40000,0,High School,Skilled Manual,1,2,19/01/2013,5-10 Miles
11159,Brianna,Hughes,16/03/1981,S,F,40000,0,High School,Skilled Manual,0,2,08/09/2013,1-2 Miles
11160,Maurice,Tang,08/07/1979,S,M,40000,0,Partial College,Skilled Manual,0,1,21/02/2013,5-10 Miles
11161,Emily,Wood,20/10/1979,S,F,40000,0,Partial College,Skilled Manual,0,1,01/06/2013,1-2 Miles
11162,Chase,Cox,02/09/1979,S,M,40000,0,Partial College,Skilled Manual,1,1,18/02/2013,5-10 Miles
11163,Gabriel,Wang,18/06/1980,M,M,40000,0,Partial College,Skilled Manual,1,1,01/05/2013,5-10 Miles
11164,Devin,Brooks,02/11/1979,S,M,40000,0,Partial College,Skilled Manual,0,1,27/04/2013,1-2 Miles
11165,Jocelyn,Alexander,15/01/1979,M,F,60000,0,Partial College,Skilled Manual,0,1,25/05/2013,1-2 Miles
11166,Ashley,Martinez,22/10/1977,S,F,70000,0,Partial College,Skilled Manual,0,2,14/10/2013,0-1 Miles
11167,Jasmine,Barnes,29/01/1978,S,F,80000,0,Bachelors,Management,0,1,07/01/2013,0-1 Miles
11168,David,Rodriguez,12/11/1973,S,M,80000,0,Bachelors,Management,0,1,15/01/2013,0-1 Miles
11169,Bryce,Richardson,20/12/1973,M,M,90000,4,Bachelors,Management,1,1,26/05/2013,0-1 Miles
11170,Carol,Howard,04/08/1973,M,F,90000,4,Bachelors,Management,1,1,26/08/2013,0-1 Miles
11171,Jonathan,Hill,05/10/1978,S,M,100000,1,Bachelors,Management,1,2,20/08/2011,1-2 Miles
11172,Gabrielle,Adams,20/05/1973,M,F,100000,1,Bachelors,Management,1,2,03/05/2013,1-2 Miles
11173,Sarah,Thomas,28/02/1973,S,F,110000,0,Graduate Degree,Management,0,4,02/03/2013,0-1 Miles
11174,Nicholas,Robinson,09/01/1973,M,M,110000,0,Graduate Degree,Management,1,0,13/07/2013,2-5 Miles
11175,Luis,Wang,01/09/1968,S,M,70000,0,Partial College,Skilled Manual,1,2,28/08/2011,5-10 Miles
11176,Mason,Roberts,21/01/1979,M,M,90000,4,Bachelors,Management,1,1,02/02/2013,1-2 Miles
11177,Jose,Flores,01/01/1948,M,M,110000,2,Graduate Degree,Management,1,2,29/03/2013,5-10 Miles
11178,Nathan,Johnson,20/08/1954,M,M,100000,2,Graduate Degree,Management,1,3,21/02/2013,1-2 Miles
11179,Molly,Rodriguez,08/12/1959,M,F,120000,2,Graduate Degree,Management,1,3,12/03/2013,5-10 Miles
11180,April,Anand,01/07/1948,M,F,160000,1,Bachelors,Management,1,4,17/03/2013,0-1 Miles
11181,Devin,Martin,01/02/1960,M,M,170000,2,Graduate Degree,Management,1,2,07/05/2013,0-1 Miles
11182,Stephanie,Torres,22/02/1950,S,F,70000,4,Bachelors,Management,1,2,28/08/2013,10+ Miles
11183,Jasmine,Lee,12/01/1950,S,F,70000,4,Bachelors,Management,1,2,30/04/2013,10+ Miles
11184,Meghan,Hernandez,13/11/1955,S,F,70000,4,Bachelors,Management,1,2,10/08/2013,10+ Miles
11185,Ashley,Henderson,07/04/1950,S,F,70000,4,Bachelors,Management,1,2,21/02/2013,10+ Miles
11186,Sarah,Price,18/11/1949,S,F,70000,4,Bachelors,Management,1,2,18/10/2013,10+ Miles
11187,Jennifer,Cooper,21/08/1949,M,F,60000,4,Graduate Degree,Management,1,2,03/04/2013,10+ Miles
11188,Catherine,Morris,06/03/1950,M,F,60000,4,Graduate Degree,Management,0,2,01/11/2013,1-2 Miles
11189,Lawrence,Blanco,12/01/1950,S,M,60000,4,Graduate Degree,Management,1,2,26/08/2011,10+ Miles
11190,Carson,Bryant,20/12/1949,M,M,70000,5,Bachelors,Management,1,2,28/08/2013,10+ Miles
11191,Kristi,Perez,17/06/1951,S,F,70000,5,Bachelors,Management,1,3,11/08/2011,10+ Miles
11192,James,Brown,13/03/1951,M,M,60000,4,Bachelors,Management,1,2,23/06/2013,2-5 Miles
11193,Ian,Gray,13/08/1950,M,M,60000,4,Bachelors,Management,1,2,25/02/2013,2-5 Miles
11194,Jacqueline,Price,08/12/1950,M,F,60000,4,Bachelors,Management,1,2,13/03/2013,2-5 Miles
11195,Megan,Henderson,10/08/1951,M,F,60000,5,Bachelors,Management,1,3,14/04/2013,10+ Miles
11196,Alfredo,Romero,05/12/1951,M,M,60000,5,Bachelors,Management,1,3,03/03/2013,10+ Miles
11197,Andrea,Morris,16/12/1951,M,F,70000,3,Bachelors,Management,0,1,02/05/2013,1-2 Miles
11198,Brooke,Sanders,25/05/1952,S,F,70000,4,Bachelors,Management,1,1,05/02/2013,10+ Miles
11199,Jacqueline,Bennett,02/11/1957,M,F,70000,4,Bachelors,Management,1,1,18/03/2013,10+ Miles
11200,Jason,Griffin,21/05/1953,M,M,70000,4,Bachelors,Management,1,1,07/02/2013,1-2 Miles
11201,Amanda,Foster,14/02/1953,M,F,70000,4,Bachelors,Management,1,1,01/07/2013,10+ Miles
11202,Alexia,Price,22/08/1958,M,F,80000,5,Bachelors,Management,0,2,15/09/2013,1-2 Miles
11203,Luis,Diaz,18/08/1959,M,M,40000,2,High School,Professional,1,2,20/02/2013,10+ Miles
11204,Destiny,Rivera,29/11/1953,M,F,40000,2,High School,Professional,1,2,09/08/2013,2-5 Miles
11205,Abby,Fernandez,21/01/1954,M,F,40000,2,High School,Professional,1,2,27/07/2013,10+ Miles
11206,Blake,Flores,24/03/1954,M,M,60000,2,Partial College,Professional,1,1,11/05/2013,10+ Miles
11207,Danielle,Cox,16/01/1954,S,F,60000,2,Partial College,Professional,1,1,31/01/2013,10+ Miles
11208,Maria,Reed,03/08/1953,M,F,60000,2,Bachelors,Management,1,0,04/03/2013,10+ Miles
11209,Allison,Evans,12/07/1953,M,F,60000,2,Bachelors,Management,1,0,25/03/2013,10+ Miles
11210,Edward,Wood,06/12/1953,M,M,70000,4,Partial College,Professional,1,2,06/05/2013,10+ Miles
11211,Samantha,Russell,08/10/1960,M,F,40000,2,High School,Professional,1,2,01/02/2013,2-5 Miles
11212,Chloe,Campbell,05/05/1955,M,F,40000,2,High School,Professional,1,2,30/01/2013,2-5 Miles
11213,Stephanie,Murphy,11/11/1954,S,F,60000,2,Partial College,Professional,1,2,28/03/2013,10+ Miles
11214,Charles,Miller,07/05/1955,S,M,60000,2,Partial College,Professional,1,2,14/08/2013,10+ Miles
11215,Ana,Perry,17/06/1961,M,F,40000,2,Partial High School,Skilled Manual,1,2,15/02/2013,10+ Miles
11216,Jasmine,Torres,17/11/1955,S,F,60000,2,Partial College,Professional,1,2,15/08/2011,10+ Miles
11217,Natalie,Adams,11/08/1955,S,F,60000,2,Partial College,Professional,1,2,10/08/2011,10+ Miles
11218,Olivia,Brown,07/09/1961,S,F,60000,2,Partial College,Professional,0,2,28/02/2013,2-5 Miles
11219,Charles,Cook,31/05/1956,M,M,60000,2,High School,Professional,1,2,29/10/2013,10+ Miles
11220,Erica,Huang,19/02/1961,M,F,60000,2,Partial College,Professional,1,1,14/03/2013,10+ Miles
11221,Nathan,Perry,08/12/1955,M,M,70000,4,Partial College,Professional,1,1,07/04/2013,1-2 Miles
11222,Alexandra,Rivera,14/02/1956,M,F,80000,3,Bachelors,Management,1,1,01/11/2013,1-2 Miles
11223,Hailey,Patterson,15/03/1957,S,F,70000,2,High School,Professional,1,2,29/01/2013,2-5 Miles
11224,Tiffany,Li,05/03/1957,S,F,70000,2,High School,Professional,1,2,07/08/2011,10+ Miles
11225,Madison,Lee,12/02/1962,M,F,60000,2,Partial College,Professional,1,1,22/06/2013,10+ Miles
11226,Sydney,Ross,23/09/1962,M,F,60000,2,Partial College,Professional,1,1,21/02/2013,2-5 Miles
11227,Marshall,Chavez,08/08/1962,S,M,60000,2,Partial College,Professional,1,2,03/08/2011,10+ Miles
11228,Ashley,Jones,16/10/1956,M,F,60000,2,Partial College,Professional,1,2,25/10/2013,10+ Miles
11229,Adrian,Stewart,01/06/1957,S,M,70000,4,Partial College,Professional,1,1,27/07/2013,10+ Miles
11230,Amber,Turner,30/09/1956,M,F,70000,4,Partial College,Professional,0,2,16/07/2013,2-5 Miles
11231,Dennis,Zhang,11/11/1963,M,M,60000,2,High School,Professional,1,2,10/02/2013,10+ Miles
11232,Hailey,Bryant,27/03/1958,M,F,60000,3,High School,Professional,0,2,20/09/2013,2-5 Miles
11233,Todd,Li,06/09/1963,M,M,70000,4,Partial College,Professional,1,2,08/02/2013,10+ Miles
11234,Anna,Griffin,19/05/1958,S,F,70000,4,Partial College,Professional,1,2,08/02/2013,10+ Miles
11235,Angel,Stewart,07/08/1957,M,M,70000,4,Partial College,Professional,1,2,04/07/2013,10+ Miles
11236,Jeremy,Butler,02/09/1957,S,M,70000,5,Partial College,Professional,1,2,03/10/2013,10+ Miles
11237,Clarence,Anand,22/03/1964,S,M,130000,2,Bachelors,Management,0,4,05/09/2011,0-1 Miles
11238,Mayra,Prasad,07/02/1964,S,F,130000,2,Bachelors,Management,0,4,06/01/2011,0-1 Miles
